,func,sa managed to find an optimal solution for test1,sa managed to find an optimal solution for test2,sa managed to find an optimal solution for test3,sa managed to find an optimal solution for test4,sa managed to find an optimal solution for test5,sa managed to find an optimal solution for test6,sa managed to find an optimal solution for test7,sa managed to find an optimal solution for test8,sa managed to find an optimal solution for test9,sa managed to find an optimal solution for test10,sa managed to find an optimal solution for test11,sa managed to find an optimal solution for test12,sa managed to find an optimal solution for test13,sa managed to find an optimal solution for test14,sa managed to find an optimal solution for test15,sa managed to find an optimal solution for test16,sa managed to find an optimal solution for test17,sa managed to find an optimal solution for test18,sa managed to find an optimal solution for test19,sa managed to find an optimal solution for test20,number of optimal solutions
0,small change,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
1,one change,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
